timestamp,ask,bid,ask_volume,bid_volume
2025-03-09 22:00:01.122000,2912.595,2910.905,0.00022000000171829015,0.00022000000171829015
2025-03-09 22:00:01.273000,2912.845,2910.855,0.00022000000171829015,0.00022000000171829015
2025-03-09 22:00:01.476000,2912.725,2910.855,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:01.577000,2912.675,2910.855,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:01.729000,2912.655,2910.855,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:01.831000,2912.535,2910.855,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:01.932000,2912.505,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.033000,2912.425,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.135000,2912.255,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.186000,2912.315,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.237000,2912.265,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.338000,2912.085,2910.905,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.491000,2912.215,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.592000,2911.615,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.643000,2912.235,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.694000,2911.965,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.795000,2911.805,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:02.947000,2911.595,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:03.048000,2911.535,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:03.149000,2911.805,2910.685,9.000000136438757e-05,0.00022000000171829015
2025-03-09 22:00:03.200000,2911.695,2910.498,9.000000136438757e-05,0.00044999999227002263
2025-03-09 22:00:03.251000,2911.515,2910.498,9.000000136438757e-05,0.00044999999227002263
2025-03-09 22:00:03.352000,2912.485,2910.575,9.000000136438757e-05,9.000000136438757e-05
2025-03-09 22:00:03.453000,2912.465,2910.555,9.000000136438757e-05,9.000000136438757e-05
2025-03-09 22:00:03.554000,2912.365,2910.575,9.000000136438757e-05,9.000000136438757e-05
2025-03-09 22:00:03.755000,2912.295,2910.605,0.00022000000171829015,0.00022000000171829015
